LocationID,Borough,Zone,service_zone,search,latitude,longitude
151,Manhattan,Manhattan Valley,Yellow Zone,"Manhattan Valley,  New York NYC",40.7997764,-73.9677716
152,Manhattan,Manhattanville,Boro Zone,"Manhattanville,  New York NYC",40.8157775,-73.951554
153,Manhattan,Marble Hill,Boro Zone,"Marble Hill,  New York NYC",40.8762983,-73.9104292
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,"Marine Park/Floyd Bennett Field,  New York NYC",40.590846,-73.890985
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,"Marine Park/Mill Basin,  New York NYC",40.611026,-73.910558
156,Staten Island,Mariners Harbor,Boro Zone,"Mariners Harbor,  New York NYC",40.6367701,-74.1587547
157,Queens,Maspeth,Boro Zone,"Maspeth,  New York NYC",40.723158,-73.912637
158,Manhattan,Meatpacking/West Village West,Yellow Zone,"Meatpacking/West Village West,  New York NYC",40.740283,-74.007892
159,Bronx,Melrose South,Boro Zone,"Melrose South,  New York NYC",40.8256703,-73.9152416
160,Queens,Middle Village,Boro Zone,"Middle Village,  New York NYC",40.7182153,-73.87867089
161,Manhattan,Midtown Center,Yellow Zone,"Midtown Center,  New York NYC",40.7622684,-73.9795443
162,Manhattan,Midtown East,Yellow Zone,"Midtown East,  New York NYC",40.7598219,-73.9724708
163,Manhattan,Midtown North,Yellow Zone,"Midtown North,  New York NYC",40.7622684,-73.9795443
164,Manhattan,Midtown South,Yellow Zone,"Midtown South,  New York NYC",40.7498417,-73.984251
165,Brooklyn,Midwood,Boro Zone,"Midwood,  New York NYC",40.6188823,-73.9654889
166,Manhattan,Morningside Heights,Boro Zone,"Morningside Heights,  New York NYC",40.81,-73.9625
167,Bronx,Morrisania/Melrose,Boro Zone,"Morrisania/Melrose,  New York NYC",40.8292672,-73.9065253
168,Bronx,Mott Haven/Port Morris,Boro Zone,"Mott Haven/Port Morris,  New York NYC",40.803597,-73.919798
169,Bronx,Mount Hope,Boro Zone,"Mount Hope,  New York NYC",40.849134,-73.906462
170,Manhattan,Murray Hill,Yellow Zone,"Murray Hill,  New York NYC",40.76,-73.8130556
171,Queens,Murray Hill-Queens,Boro Zone,"Murray Hill-Queens,  New York NYC",40.76,-73.8130556
172,Staten Island,New Dorp/Midland Beach,Boro Zone,"New Dorp/Midland Beach,  New York NYC",40.572935,-74.1152
173,Queens,North Corona,Boro Zone,"North Corona,  New York NYC",40.7469593,-73.8601456
174,Bronx,Norwood,Boro Zone,"Norwood,  New York NYC",40.8772593,-73.8768626
175,Queens,Oakland Gardens,Boro Zone,"Oakland Gardens,  New York NYC",40.753991,-73.765966
176,Staten Island,Oakwood,Boro Zone,"Oakwood,  New York NYC",40.563994,-74.1159754
177,Brooklyn,Ocean Hill,Boro Zone,"Ocean Hill,  New York NYC",40.6757317,-73.9124338
178,Brooklyn,Ocean Parkway South,Boro Zone,"Ocean Parkway South,  New York NYC",40.5763146,-73.9685371
179,Queens,Old Astoria,Boro Zone,"Old Astoria,  New York NYC",40.7720145,-73.9302673
180,Queens,Ozone Park,Boro Zone,"Ozone Park,  New York NYC",40.67677,-73.8437461
181,Brooklyn,Park Slope,Boro Zone,"Park Slope,  New York NYC",40.6701033,-73.9859723
182,Bronx,Parkchester,Boro Zone,"Parkchester,  New York NYC",40.8389893,-73.8604128
183,Bronx,Pelham Bay,Boro Zone,"Pelham Bay,  New York NYC",40.8662112,-73.7895774
184,Bronx,Pelham Bay Park,Boro Zone,"Pelham Bay Park,  New York NYC",40.85413105,-73.8221733
185,Bronx,Pelham Parkway,Boro Zone,"Pelham Parkway,  New York NYC",40.8592334,-73.8550166
186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,"Penn Station/Madison Sq West,  New York NYC",40.747938,-73.990468
187,Staten Island,Port Richmond,Boro Zone,"Port Richmond,  New York NYC",40.6331592,-74.1365318
188,Brooklyn,Prospect-Lefferts Gardens,Boro Zone,"Prospect-Lefferts Gardens,  New York NYC",40.659504,-73.956054
189,Brooklyn,Prospect Heights,Boro Zone,"Prospect Heights,  New York NYC",40.6778708,-73.9684725
190,Brooklyn,Prospect Park,Boro Zone,"Prospect Park,  New York NYC",40.6617743,-73.97108903
191,Queens,Queens Village,Boro Zone,"Queens Village,  New York NYC",40.7267692,-73.7415208
192,Queens,Queensboro Hill,Boro Zone,"Queensboro Hill,  New York NYC",40.7552023,-73.8870197
193,Queens,Queensbridge/Ravenswood,Boro Zone,"Queensbridge/Ravenswood,  New York NYC",40.754884,-73.945387
194,Manhattan,Randalls Island,Yellow Zone,"Randalls Island,  New York NYC",40.7967677,-73.9220815
195,Brooklyn,Red Hook,Boro Zone,"Red Hook,  New York NYC",40.6751032,-74.0095841
196,Queens,Rego Park,Boro Zone,"Rego Park,  New York NYC",40.72293705,-73.86220652
197,Queens,Richmond Hill,Boro Zone,"Richmond Hill,  New York NYC",40.6994253,-73.8309672
198,Queens,Ridgewood,Boro Zone,"Ridgewood,  New York NYC",40.7080556,-73.9141667
199,Bronx,Rikers Island,Boro Zone,"Rikers Island,  New York NYC",40.79193175,-73.88349372
200,Bronx,Riverdale/North Riverdale/Fieldston,Boro Zone,"Riverdale/North Riverdale/Fieldston,  New York NYC",40.900316,-73.904773
201,Queens,Rockaway Park,Boro Zone,"Rockaway Park,  New York NYC",40.5805104,-73.8361535
202,Manhattan,Roosevelt Island,Boro Zone,"Roosevelt Island,  New York NYC",40.7614177,-73.95022817
203,Queens,Rosedale,Boro Zone,"Rosedale,  New York NYC",40.6620479,-73.7354097
204,Staten Island,Rossville/Woodrow,Boro Zone,"Rossville/Woodrow,  New York NYC",40.5417741,-74.2080742
205,Queens,Saint Albans,Boro Zone,"Saint Albans,  New York NYC",40.6984364,-73.7606881
206,Staten Island,Saint George/New Brighton,Boro Zone,"Saint George/New Brighton,  New York NYC",40.643492,-74.080202
207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone,"Saint Michaels Cemetery/Woodside,  New York NYC",40.763766,-73.897431
208,Bronx,Schuylerville/Edgewater Park,Boro Zone,"Schuylerville/Edgewater Park,  New York NYC",40.823387,-73.809451
209,Manhattan,Seaport,Yellow Zone,"Seaport,  New York NYC",40.7057752,-74.0028376
210,Brooklyn,Sheepshead Bay,Boro Zone,"Sheepshead Bay,  New York NYC",40.5912161,-73.9445822
211,Manhattan,SoHo,Yellow Zone,"SoHo,  New York NYC",40.72288,-73.9987505
212,Bronx,Soundview/Bruckner,Boro Zone,"Soundview/Bruckner,  New York NYC",40.824298,-73.870208
213,Bronx,Soundview/Castle Hill,Boro Zone,"Soundview/Castle Hill,  New York NYC",40.807533,-73.852145
214,Staten Island,South Beach/Dongan Hills,Boro Zone,"South Beach/Dongan Hills,  New York NYC",40.589453,-74.087485
215,Queens,South Jamaica,Boro Zone,"South Jamaica,  New York NYC",40.7127281,-74.0060152
216,Queens,South Ozone Park,Boro Zone,"South Ozone Park,  New York NYC",40.6701035,-73.8190231
217,Brooklyn,South Williamsburg,Boro Zone,"South Williamsburg,  New York NYC",40.714622,-73.95345
218,Queens,Springfield Gardens North,Boro Zone,"Springfield Gardens North,  New York NYC",40.678159,-73.746521
219,Queens,Springfield Gardens South,Boro Zone,"Springfield Gardens South,  New York NYC",40.678159,-73.746521
220,Bronx,Spuyten Duyvil/Kingsbridge,Boro Zone,"Spuyten Duyvil/Kingsbridge,  New York NYC",40.881799,-73.905007
221,Staten Island,Stapleton,Boro Zone,"Stapleton,  New York NYC",40.6264774,-74.0776361
222,Brooklyn,Starrett City,Boro Zone,"Starrett City,  New York NYC",40.6478541,-73.87951546
223,Queens,Steinway,Boro Zone,"Steinway,  New York NYC",40.7745459,-73.9037477
